INSERT INTO `tiere` (`id`, `name`, `nameEn`, `gehegeId`, `spielgeraetId`, `stalllevel`, `preis`, `preisartId`, `zuchtkosten`, `zuchtdauer`, `startprozent`, `platzbedarf`, `anzahlbasis`, `anzahlmax`, `xpfuettern`, `xpspielen`, `xpputzen`, `popularitaet`, `verkaufswert`, `auswildern`, `release`, `bild`) VALUES
(101,'Achal-Tekkiner','Akhal-Teke',100,101,1,80,2,4800,12,3,64,2,8,243,363,121,800,8000,800,'17.06.2024','achal-tekkiner.jpg'),
(102,'Angorakaninchen','Angora Rabbit',100,103,3,95,2,7600,13,4,24,6,12,null,null,null,950,9500,950,'19.12.2023','angorakaninchen.jpg'),
(103,'Biber','Beaver',100,102,3,145000,1,6000,14,3,45,3,8,98,292,195,1000,29000,2900,'19.11.2019','biber.jpg'),
(104,'Blaufußtölpel','Blue-Footed Booby',100,102,3,75,2,6000,12,4,40,3,10,83,165,247,750,7500,750,'04.07.2023','blaufußtoelpel.jpg'),
(105,'Damhirsch','Fallow Deer',100,102,3,80,2,4800,12,3,85,1,8,495,743,248,800,8000,800,'23.03.2021','damhirsch.jpg'),
(106,'Großer Pampashase','Patagonian Mara',100,105,3,75,2,6000,12,4,55,2,10,173,87,260,750,7500,750,'07.04.2020','großer-pampashase.jpg'),
(107,'Großer Panda','Giant Panda',100,104,3,6250,1,1750,5,7,64,2,6,60,40,20,125,1250,125,'16.04.2018','großer-panda.jpg'),
(108,'Hase','Rabbit',100,103,0,1000,1,1000,2,25,32,4,12,8,3,6,20,200,20,'16.04.2018','hase.jpg'),
(109,'Hausschwein','Domestic Pig',100,101,2,10,2,1800,4,9,60,2,8,6,12,18,100,1000,100,'16.04.2018','hausschwein.jpg'),
(110,'Hausziege','Domestic Goat',100,103,0,1500,1,960,2,16,42,3,8,4,8,12,30,300,30,'16.04.2018','hausziege.jpg'),
(111,'Husarenaffe','Patas Monkey',100,102,3,100,2,6000,14,3,65,2,8,353,118,235,1000,10000,1000,'18.02.2020','husarenaffe.jpg'),
(112,'Jaguarundi','Jaguarundi',100,104,3,75,2,4500,12,3,90,1,9,428,143,285,750,7500,750,'29.07.2020','jaguarundi.jpg'),
(113,'Klunkerkranich','Wattled Crane',100,102,2,85,2,5100,13,3,35,4,8,150,224,75,850,8500,850,'09.04.2024','klunkerkranich.jpg'),
(114,'Kurzschnabeligel','Short-Beaked Echidna',100,102,2,50,2,4000,6,4,35,4,10,55,83,28,500,5000,500,'30.07.2022','kurzschnabeligel.jpg'),
(115,'Lippenbär','Sloth Bear',100,104,2,95,2,3800,13,2,83,1,5,129,388,259,950,9500,950,'08.06.2021','lippenbaer.jpg'),
(116,'Löffler','Roseate Spoonbill',100,102,2,76,2,4560,12,3,65,2,8,124,186,62,760,7600,760,'11.02.2021','loeffler.jpg'),
(117,'Mähnenwolf','Maned Wolf',100,104,3,110,2,6600,14,3,70,2,8,149,448,299,1100,11000,1100,'25.02.2020','maehnenwolf.jpg'),
(118,'Mandschurenkranich','Red-Crowned Crane',100,102,2,90,2,5400,13,3,60,2,8,371,556,185,900,9000,900,'15.05.2020','mandschurenkranich.jpg'),
(119,'Nasenbär','Coati',100,103,2,105,2,6300,14,3,50,2,7,94,140,47,1050,10500,1050,'10.10.2018','nasenbaer.jpg'),
(120,'Nilgauantilope','Nilgai',100,105,3,110,2,6600,14,3,65,2,8,103,309,206,1100,11000,1100,'03.08.2022','nilgauantilope.jpg'),
(121,'Nilwaran','Nile Monitor',100,102,2,95,2,4800,15,2,60,2,6,325,974,650,1200,12000,1200,'12.04.2022','nilwaran.jpg'),
